sample_ising,ising_energy,sample_vectorized,vectorized_energy
455,248.0,455,66.0
456,248.0,456,66.0
457,248.0,457,66.0
458,248.0,458,66.0
459,248.0,459,66.0
460,248.0,460,66.0
461,248.0,461,66.0
462,248.0,462,66.0
463,248.0,463,66.0
464,248.0,464,66.0
465,248.0,465,66.0
466,248.0,466,66.0
467,248.0,467,66.0
468,248.0,468,66.0
469,248.0,469,66.0
470,248.0,470,66.0
471,248.0,471,66.0
472,248.0,472,66.0
473,248.0,473,66.0
474,248.0,474,66.0
475,248.0,475,66.0
476,248.0,476,66.0
477,248.0,477,66.0
478,248.0,478,66.0
479,248.0,479,66.0
480,248.0,480,66.0
481,248.0,481,66.0
482,248.0,482,66.0
483,248.0,483,66.0
484,248.0,484,66.0
485,248.0,485,66.0
486,248.0,486,66.0
487,248.0,487,66.0
488,248.0,488,66.0
489,248.0,489,66.0
490,248.0,490,66.0
491,248.0,491,66.0
492,248.0,492,66.0
493,248.0,493,66.0
494,248.0,494,66.0
495,248.0,495,66.0
496,248.0,496,66.0
497,248.0,497,66.0
498,248.0,498,66.0
499,248.0,499,66.0
500,248.0,500,66.0
