sample_ising,ising_energy,sample_vectorized,vectorized_energy
448,62.0,448,166.0
449,64.0,449,166.0
450,60.0,450,166.0
451,60.0,451,170.0
452,60.0,452,170.0
453,60.0,453,170.0
454,60.0,454,170.0
455,60.0,455,172.0
456,60.0,456,168.0
457,60.0,457,168.0
458,60.0,458,168.0
459,58.0,459,172.0
460,60.0,460,172.0
461,58.0,461,178.0
462,58.0,462,180.0
463,60.0,463,178.0
464,60.0,464,174.0
465,62.0,465,174.0
466,62.0,466,170.0
467,64.0,467,170.0
468,60.0,468,172.0
469,60.0,469,166.0
470,60.0,470,164.0
471,58.0,471,164.0
472,60.0,472,164.0
473,62.0,473,164.0
474,62.0,474,166.0
475,62.0,475,158.0
476,62.0,476,158.0
477,62.0,477,158.0
478,60.0,478,158.0
479,60.0,479,158.0
480,60.0,480,158.0
481,62.0,481,160.0
482,64.0,482,156.0
483,62.0,483,154.0
484,66.0,484,154.0
485,64.0,485,152.0
486,64.0,486,154.0
487,64.0,487,156.0
488,64.0,488,156.0
489,62.0,489,156.0
490,64.0,490,156.0
491,62.0,491,156.0
492,64.0,492,156.0
493,64.0,493,156.0
494,62.0,494,156.0
495,62.0,495,156.0
496,64.0,496,152.0
497,64.0,497,154.0
498,64.0,498,154.0
499,64.0,499,154.0
500,62.0,500,150.0
501,62.0,501,150.0
502,62.0,502,152.0
503,60.0,503,158.0
504,62.0,504,156.0
505,60.0,505,156.0
506,64.0,506,156.0
507,62.0,507,156.0
508,60.0,508,156.0
509,60.0,509,162.0
510,60.0,510,158.0
511,62.0,511,160.0
512,62.0,512,160.0
513,62.0,513,160.0
514,62.0,514,158.0
515,58.0,515,158.0
516,58.0,516,162.0
517,64.0,517,156.0
518,62.0,518,156.0
519,58.0,519,160.0
520,56.0,520,160.0
521,56.0,521,160.0
522,62.0,522,160.0
523,56.0,523,160.0
524,58.0,524,158.0
525,60.0,525,158.0
526,56.0,526,158.0
527,56.0,527,158.0
528,56.0,528,164.0
529,56.0,529,158.0
530,56.0,530,160.0
531,56.0,531,160.0
532,56.0,532,160.0
533,56.0,533,160.0
534,56.0,534,164.0
535,58.0,535,164.0
536,58.0,536,164.0
537,56.0,537,162.0
538,56.0,538,160.0
539,56.0,539,156.0
540,42.0,540,158.0
541,42.0,541,152.0
542,42.0,542,152.0
543,42.0,543,152.0
544,48.0,544,150.0
545,48.0,545,146.0
546,42.0,546,146.0
547,42.0,547,146.0
548,42.0,548,146.0
549,42.0,549,146.0
550,42.0,550,146.0
551,46.0,551,148.0
552,42.0,552,148.0
553,42.0,553,148.0
554,46.0,554,154.0
555,48.0,555,156.0
556,48.0,556,158.0
557,48.0,557,158.0
558,48.0,558,156.0
559,50.0,559,148.0
560,54.0,560,144.0
561,52.0,561,144.0
562,50.0,562,144.0
563,54.0,563,144.0
564,52.0,564,146.0
565,50.0,565,144.0
566,50.0,566,140.0
567,52.0,567,136.0
568,52.0,568,140.0
569,50.0,569,136.0
570,52.0,570,138.0
571,52.0,571,142.0
572,50.0,572,138.0
573,50.0,573,138.0
574,50.0,574,138.0
575,50.0,575,138.0
576,50.0,576,138.0
577,50.0,577,138.0
578,50.0,578,138.0
579,46.0,579,138.0
580,46.0,580,138.0
581,46.0,581,138.0
582,46.0,582,138.0
583,46.0,583,138.0
584,46.0,584,138.0
585,48.0,585,138.0
586,44.0,586,138.0
587,44.0,587,138.0
588,46.0,588,140.0
589,46.0,589,140.0
590,46.0,590,140.0
591,48.0,591,140.0
592,50.0,592,142.0
593,50.0,593,148.0
594,50.0,594,140.0
595,48.0,595,140.0
596,48.0,596,142.0
597,52.0,597,144.0
598,52.0,598,144.0
599,52.0,599,142.0
600,52.0,600,140.0
601,52.0,601,140.0
602,56.0,602,140.0
603,46.0,603,140.0
604,48.0,604,140.0
605,46.0,605,140.0
606,44.0,606,140.0
607,46.0,607,140.0
608,48.0,608,146.0
609,44.0,609,146.0
610,46.0,610,140.0
611,44.0,611,144.0
612,44.0,612,144.0
613,44.0,613,140.0
614,46.0,614,140.0
615,46.0,615,140.0
616,46.0,616,138.0
617,46.0,617,138.0
618,44.0,618,138.0
619,46.0,619,138.0
620,60.0,620,138.0
621,58.0,621,144.0
622,56.0,622,142.0
623,58.0,623,142.0
624,60.0,624,142.0
625,58.0,625,138.0
626,56.0,626,134.0
627,58.0,627,134.0
628,60.0,628,134.0
629,58.0,629,134.0
630,56.0,630,136.0
631,56.0,631,136.0
632,56.0,632,136.0
633,56.0,633,134.0
634,54.0,634,134.0
635,54.0,635,134.0
636,54.0,636,134.0
637,58.0,637,134.0
638,54.0,638,134.0
639,54.0,639,134.0
640,54.0,640,136.0
641,56.0,641,138.0
642,54.0,642,138.0
643,54.0,643,138.0
644,54.0,644,138.0
645,54.0,645,138.0
646,54.0,646,138.0
647,54.0,647,138.0
